Downloaded from wid.world on 26-05-2020 at 14:48:04
Percentile;Year;"sptinc_z_US
Pre-tax national income 
Top 1% | share
USA";"agdpro_992_i_US
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2018)
USA"
p50p90;2005;0.4118;
p50p90;2006;0.4044;
p50p90;2007;0.4045;
p50p90;2008;0.4107;
p50p90;2009;0.4202;
p50p90;2010;0.4105;
p50p90;2011;0.4117;
p50p90;2012;0.4024;
p50p90;2013;0.407;
p50p90;2014;0.4019;
p50p90;2015;0.4021;
p50p90;2016;0.408;
p50p90;2017;0.4056;
p50p90;2018;0.4055;
pall;1950;;19042.1381
pall;1951;;20339.8041
pall;1952;;20901.951
pall;1953;;21592.1747
pall;1954;;21275.4612
pall;1955;;22701.8432
pall;1956;;23256.6064
pall;1957;;23412.8687
pall;1958;;22918.3101
pall;1959;;24191.1986
pall;1960;;24580.399
pall;1961;;24894.2726
pall;1962;;26051.8634
pall;1963;;26906.088
pall;1964;;27944.9024
pall;1965;;29339.5491
pall;1966;;30708.1402
pall;1967;;31238.6938
pall;1968;;32141.4797
pall;1969;;32662.8038
pall;1970;;32058.5563
pall;1971;;32224.6871
pall;1972;;33309.7909
pall;1973;;34574.7278
pall;1974;;33884.717
pall;1975;;33180.9331
pall;1976;;34255.2455
pall;1977;;35283.8365
pall;1978;;36553.885
pall;1979;;36737.0549
pall;1980;;35999.2638
pall;1981;;36420.6254
pall;1982;;35503.0723
pall;1983;;35951.8384
pall;1984;;38055.3808
pall;1985;;38867.0788
pall;1986;;39465.5756
pall;1987;;40682.9451
pall;1988;;42274.1088
pall;1989;;42806.6503
pall;1990;;42767.4605
pall;1991;;42058.7068
pall;1992;;42716.9823
pall;1993;;43068.1288
pall;1994;;44439.9147
pall;1995;;45456.8624
pall;1996;;46772.1354
pall;1997;;48431.9524
pall;1998;;50274.3712
pall;1999;;51812.8559
pall;2000;;53557.3712
pall;2001;;53454.4979
pall;2002;;53418.9998
pall;2003;;53879.9063
pall;2004;;55245.9415
pall;2005;;56657.2013
pall;2006;;58284.573
pall;2007;;57605.3537
pall;2008;;56457.9153
pall;2009;;54178.3027
pall;2010;;54851.0614
pall;2011;;55462.6215
pall;2012;;56697.0301
pall;2013;;56863.0899
pall;2014;;58062.5683
pall;2015;;58931.7022
pall;2016;;59282.7067
pall;2017;;60051.1681
pall;2018;;61270.0285
